name;popularity;danceability;valence;energy
Frida;62;0.673;0.743;0.587
Veli mä vannon;61;0.781;0.397;0.57
Penelope (feat. Clever);60;0.795;0.777;0.673
Ehjää;52;0.707;0.221;0.611
All I Want for Christmas Is You;95;0.336;0.35;0.627
Last Christmas;86;0.735;0.947;0.478
Jenny;57;0.668;0.563;0.799
WITHOUT YOU;87;0.662;0.467;0.413
Hei rakas;58;0.681;0.243;0.411
Therefore I Am;96;0.889;0.716;0.34
Joulun kanssas jaan (feat. Cantores Minores);57;0.467;0.227;0.538
Mood (feat. iann dior);99;0.7;0.756;0.722
Universum;63;0.776;0.634;0.805
Pyyntö - Vain elämää kausi 11;63;0.381;0.206;0.326
It's Beginning to Look a Lot like Christmas;73;0.339;0.363;0.214
Blinding Lights;97;0.514;0.334;0.73
Santa Tell Me;93;0.525;0.591;0.621
Lupaan;62;0.419;0.299;0.225
Dinosauruksii;59;0.594;0.285;0.688
HOLIDAY;91;0.81;0.837;0.511
100;61;0.756;0.548;0.521
Lemonade (feat. Gunna, Don Toliver & NAV);90;0.8;0.462;0.658
Tulkoon joulu;56;0.488;0.329;0.511
Lady Domina;61;0.594;0.629;0.85
Whoopty;90;0.711;0.737;0.598
Tivolit;56;0.646;0.402;0.471
you broke me first;94;0.642;0.0799;0.374
Snowman;81;0.716;0.326;0.512
Prisoner (feat. Dua Lipa);81;0.781;0.595;0.67
Päästä varpaisiin;61;0.483;0.303;0.184
Lonely (with benny blanco);95;0.631;0.0927;0.239
positions;97;0.737;0.682;0.802
Mistletoe;88;0.657;0.854;0.56
molemmat;59;0.669;0.24;0.6
Kopiokissa;60;0.754;0.648;0.586
Joulumaa;54;0.55;0.302;0.275
Minä liityin sinuun - Vain elämää kausi 11;59;0.455;0.377;0.733
Epäkohtelias (feat. Axel Kala & Gettomasa);58;0.917;0.611;0.409
WAP (feat. Megan Thee Stallion);95;0.935;0.357;0.454
Sydämeeni joulun teen;52;0.175;0.312;0.334
What You Know Bout Love;95;0.709;0.543;0.548
Syntisten pöytä;60;0.685;0.618;0.892
Silmät;56;0.788;0.784;0.726
Tässäkö tää oli? (feat. Leavings-Orkesteri);55;0.774;0.801;0.644
Kuningaskobra (Vain elämää kausi 11);58;0.917;0.816;0.64
Monster (Shawn Mendes & Justin Bieber);75;0.64;0.502;0.392
Epäröimättä hetkeekään;48;0.452;0.319;0.64
Lämmin lumi peittää maan;53;0.537;0.282;0.583
Pelkään rakastaa sua;49;0.628;0.4;0.655
16v;55;0.809;0.513;0.628
